added_fields,added_methods,added_packages,added_relations,added_types,agent,changed_fields,changed_methods,changed_relations,component_exact_fields,component_exact_methods,component_exact_packages,component_exact_relations,component_exact_types,component_fuzzy_field_preservation,component_fuzzy_matched_type_coverage,component_fuzzy_method_preservation,component_fuzzy_name_package_retention,component_fuzzy_relation_preservation,exact_similarity,fuzzy_similarity,likely_renamed_or_moved_types,missing_fields,missing_methods,missing_packages,missing_relations,missing_types,repo_slug,run_id,variant
10,209,0,294,4,codex,27,29,0,0.738916,0.578755,1.0,0.833107,0.927374,0.813008,0.927374,0.604828,0.996252,0.233379,0.808364,0.679099,4,5,44,0,271,9,ulisesbocchio_jasypt-spring-boot,20260505T122153Z__ulisesbocchio_jasypt-spring-boot__2243cb80,generated
7,181,0,298,1,codex,29,43,0,0.734694,0.536269,1.0,0.807018,0.932584,0.792453,0.955056,0.560647,0.998824,0.232119,0.792709,0.675426,2,12,59,0,271,7,ulisesbocchio_jasypt-spring-boot,20260505T122153Z__ulisesbocchio_jasypt-spring-boot__2243cb80,v2
21,198,0,290,3,codex,34,42,0,0.643038,0.496749,1.0,0.765432,0.917127,0.69657,0.950276,0.512,0.997674,0.224966,0.754717,0.647977,3,26,84,0,275,6,ulisesbocchio_jasypt-spring-boot,20260505T122153Z__ulisesbocchio_jasypt-spring-boot__2243cb80,v3
1,60,8,303,28,codex,7,139,0,0.515625,0.28739,0.5,0.728285,0.773006,0.804878,0.785276,0.362292,1.0,0.320713,0.596559,0.608951,1,1,7,0,307,7,mbechler_marshalsec,20260505T150455Z__mbechler_marshalsec__243c5aa8,generated
1,50,7,248,19,codex,7,130,0,0.522523,0.294017,0.533333,0.739234,0.818182,0.74359,0.831169,0.337255,0.998295,0.327751,0.616831,0.610107,3,5,28,0,314,7,mbechler_marshalsec,20260505T150455Z__mbechler_marshalsec__243c5aa8,v2
5,63,9,229,16,codex,5,122,0,0.446429,0.286713,0.470588,0.745432,0.828947,0.666667,0.855263,0.320939,0.995628,0.343484,0.602232,0.6062,2,11,40,0,310,6,mbechler_marshalsec,20260505T150455Z__mbechler_marshalsec__243c5aa8,v3
3,38,7,236,22,codex,4,128,0,0.301075,0.3125,0.631579,0.572271,0.765432,0.697674,0.777778,0.385396,0.994486,0.129794,0.533859,0.546961,3,2,9,0,354,14,frohoff_ysoserial,20260505T150537Z__frohoff_ysoserial__218bcffc,generated
1,29,8,236,16,codex,6,116,0,0.328358,0.297064,0.6,0.612245,0.782051,0.578947,0.807692,0.372591,0.96983,0.151603,0.547853,0.538552,4,3,32,0,346,14,frohoff_ysoserial,20260505T150537Z__frohoff_ysoserial__218bcffc,v2
4,67,5,257,19,codex,1,102,0,0.390244,0.274247,0.705882,0.466867,0.767296,0.780488,0.792453,0.338144,0.982379,0.027108,0.515858,0.527453,2,3,50,0,389,14,frohoff_ysoserial,20260505T150537Z__frohoff_ysoserial__218bcffc,v3
9,83,2,308,7,codex,74,138,0,0.552846,0.663438,0.944444,0.791712,0.96875,0.565097,0.96875,0.678218,0.995806,0.348964,0.78976,0.697855,1,0,31,0,289,1,xtuhcy_gecco,20260505T150549Z__xtuhcy_gecco__e1f32e1c,generated
15,99,4,291,8,codex,73,100,0,0.525469,0.67052,0.894737,0.792453,0.96875,0.541436,0.960938,0.686391,1.0,0.357381,0.782321,0.69612,0,5,72,0,288,2,xtuhcy_gecco,20260505T150549Z__xtuhcy_gecco__e1f32e1c,v2
23,88,0,280,8,codex,56,123,0,0.450867,0.585281,1.0,0.76958,0.980237,0.474164,0.948617,0.605027,0.997917,0.345062,0.76062,0.662772,1,38,106,0,297,5,xtuhcy_gecco,20260505T150549Z__xtuhcy_gecco__e1f32e1c,v3
7,61,0,91,3,codex,27,34,0,0.895265,0.812968,1.0,0.732601,0.865672,0.909621,0.925373,0.826196,1.0,0.344322,0.833081,0.765375,2,1,9,0,88,2,happyfish100_fastdfs-client-java,20260506T082045Z__happyfish100_fastdfs-client-java__4e7b6b34,generated
6,48,0,86,5,codex,22,37,0,0.862629,0.754316,1.0,0.765799,0.852941,0.888889,0.882353,0.77027,1.0,0.356877,0.823233,0.741313,1,23,48,0,87,3,happyfish100_fastdfs-client-java,20260506T082045Z__happyfish100_fastdfs-client-java__4e7b6b34,v2
5,24,0,94,6,codex,27,111,0,0.790347,0.525588,1.0,0.681319,0.852941,0.833068,0.852941,0.54755,1.0,0.322344,0.741301,0.670939,0,46,68,0,91,4,happyfish100_fastdfs-client-java,20260506T082045Z__happyfish100_fastdfs-client-java__4e7b6b34,v3
3,7,0,26,1,codex,24,14,0,0.444444,0.786408,1.0,0.854545,0.909091,0.444444,0.969697,0.803922,1.0,0.509091,0.807585,0.745633,1,9,5,0,28,0,JakeWharton_RxRelay,20260506T082105Z__JakeWharton_RxRelay__9540ecc7,generated
6,12,0,26,1,codex,22,1,0,0.495575,0.852941,1.0,0.864865,0.909091,0.495575,0.969697,0.871287,1.0,0.522523,0.831657,0.770133,1,7,12,0,27,0,JakeWharton_RxRelay,20260506T082105Z__JakeWharton_RxRelay__9540ecc7,v2
6,8,0,35,4,codex,21,10,0,0.336449,0.717172,1.0,0.701754,0.571429,0.392157,0.857143,0.751323,0.985263,0.403509,0.647285,0.665634,1,14,19,0,33,1,JakeWharton_RxRelay,20260506T082105Z__JakeWharton_RxRelay__9540ecc7,v3
5,44,11,229,21,codex,10,21,0,0.803797,0.57187,0.755556,0.658654,0.733333,0.905263,0.766667,0.772443,0.980632,0.100962,0.691429,0.643582,2,2,23,0,145,7,amitshekhariitbhu_Android-Debug-Database,20260506T082129Z__amitshekhariitbhu_Android-Debug-Database__bf149df6,generated
12,44,10,231,20,codex,13,20,0,0.708861,0.538217,0.714286,0.609113,0.705882,0.814286,0.773109,0.731602,0.958778,0.095923,0.644605,0.620255,4,14,40,2,146,7,amitshekhariitbhu_Android-Debug-Database,20260506T082129Z__amitshekhariitbhu_Android-Debug-Database__bf149df6,v2
20,39,11,216,22,codex,22,19,0,0.64127,0.535836,0.755556,0.567164,0.715447,0.72028,0.780488,0.69469,0.967193,0.099502,0.627924,0.602721,4,16,61,0,146,5,amitshekhariitbhu_Android-Debug-Database,20260506T082129Z__amitshekhariitbhu_Android-Debug-Database__bf149df6,v3
7,30,4,118,11,codex,29,33,0,0.834746,0.773676,0.846154,0.774648,0.891089,0.858388,0.891089,0.815567,1.0,0.295775,0.819729,0.733142,0,0,13,0,82,0,amitshekhariitbhu_PRDownloader,20260506T082136Z__amitshekhariitbhu_PRDownloader__611b12c8,generated
6,36,4,109,8,codex,22,35,0,0.832962,0.751252,0.846154,0.769231,0.895833,0.848073,0.895833,0.774527,1.0,0.29304,0.814538,0.724126,0,17,25,0,84,2,amitshekhariitbhu_PRDownloader,20260506T082136Z__amitshekhariitbhu_PRDownloader__611b12c8,v2
13,42,4,111,8,codex,21,28,0,0.77551,0.721754,0.846154,0.739927,0.895833,0.793503,0.895833,0.752197,1.0,0.278388,0.791229,0.707812,0,34,43,0,86,2,amitshekhariitbhu_PRDownloader,20260506T082136Z__amitshekhariitbhu_PRDownloader__611b12c8,v3
8,45,17,268,51,codex,30,4,0,0.59661,0.679095,0.451613,0.56833,0.696203,0.721311,0.64557,0.862944,1.0,0.190889,0.615021,0.622179,0,0,28,0,105,5,esoxjem_MovieGuide,20260506T083333Z__esoxjem_MovieGuide__dc1f20fb,generated
9,55,17,263,50,codex,31,4,0,0.56,0.647368,0.451613,0.545055,0.691824,0.677419,0.666667,0.821369,1.0,0.189011,0.595107,0.613139,0,9,44,0,106,3,esoxjem_MovieGuide,20260506T083333Z__esoxjem_MovieGuide__dc1f20fb,v2
20,62,17,227,45,codex,27,3,0,0.533333,0.666667,0.451613,0.543269,0.710526,0.630705,0.671053,0.798635,1.0,0.192308,0.599107,0.603725,0,15,50,0,109,5,esoxjem_MovieGuide,20260506T083333Z__esoxjem_MovieGuide__dc1f20fb,v3
11,40,43,389,73,codex,37,32,0,0.510791,0.670534,0.426667,0.787611,0.637168,0.756614,0.628319,0.814085,1.0,0.179204,0.648967,0.609605,3,7,28,0,353,11,19MisterX98_SeedcrackerX,20260507T093402Z__19MisterX98_SeedcrackerX__8e18d20d,generated
10,53,35,416,69,codex,50,27,0,0.427536,0.628308,0.477612,0.695747,0.633929,0.636119,0.651786,0.77591,1.0,0.146129,0.60476,0.582668,4,25,53,0,367,9,19MisterX98_SeedcrackerX,20260507T093402Z__19MisterX98_SeedcrackerX__8e18d20d,v2
16,38,42,383,73,codex,46,25,0,0.406015,0.585714,0.432432,0.730942,0.654867,0.6,0.628319,0.746586,0.998122,0.168161,0.604288,0.569665,2,36,79,0,359,11,19MisterX98_SeedcrackerX,20260507T093402Z__19MisterX98_SeedcrackerX__8e18d20d,v3
3,83,23,474,72,codex,50,25,0,0.532348,0.58533,0.258065,0.643038,0.55102,0.702179,0.591837,0.804369,1.0,0.040506,0.553391,0.553878,3,20,64,0,284,8,airbnb_native-navigation,20260507T093422Z__airbnb_native-navigation__9cf50bf9,generated
6,89,24,467,78,codex,46,29,0,0.479846,0.532418,0.193548,0.555985,0.507463,0.670241,0.567164,0.726141,0.966503,0.02574,0.491476,0.518999,6,25,117,1,290,9,airbnb_native-navigation,20260507T093422Z__airbnb_native-navigation__9cf50bf9,v2
10,74,25,438,77,codex,41,22,0,0.483034,0.507987,0.242424,0.571809,0.517413,0.630208,0.577114,0.70187,0.983011,0.037234,0.499191,0.515649,4,50,153,0,286,8,airbnb_native-navigation,20260507T093422Z__airbnb_native-navigation__9cf50bf9,v3
9,94,1,270,3,codex,30,46,0,0.70903,0.686364,0.947368,0.757785,0.906977,0.742268,0.953488,0.711785,0.990089,0.107266,0.792444,0.665569,5,6,61,0,246,5,awaitility_awaitility,20260507T093651Z__awaitility_awaitility__4fc23ccb,generated
8,78,1,256,2,codex,32,50,0,0.705085,0.661098,0.947368,0.746429,0.904762,0.734982,0.940476,0.687268,0.998997,0.096429,0.782838,0.653851,2,3,75,0,250,8,awaitility_awaitility,20260507T093651Z__awaitility_awaitility__4fc23ccb,v2
6,68,0,247,2,codex,32,44,0,0.66899,0.634328,1.0,0.771739,0.886228,0.705882,0.934132,0.664062,0.995218,0.101449,0.780293,0.643819,1,10,102,0,249,9,awaitility_awaitility,20260507T093651Z__awaitility_awaitility__4fc23ccb,v3
6,40,7,146,21,codex,42,72,0,0.639024,0.499139,0.740741,0.60745,0.796296,0.74221,0.759259,0.589431,1.0,0.275072,0.651065,0.625763,0,1,18,0,107,5,DantSu_ESCPOS-ThermalPrinter-Android,20260507T093656Z__DantSu_ESCPOS-ThermalPrinter-Android__f61030e4,generated
10,42,7,156,22,codex,41,49,0,0.585859,0.541012,0.740741,0.671958,0.796296,0.684366,0.740741,0.648536,1.0,0.354497,0.670817,0.643209,0,15,28,0,88,6,DantSu_ESCPOS-ThermalPrinter-Android,20260507T093656Z__DantSu_ESCPOS-ThermalPrinter-Android__f61030e4,v2
9,58,7,151,22,codex,36,45,0,0.576623,0.493056,0.740741,0.644444,0.766355,0.676829,0.728972,0.60084,1.0,0.3,0.644101,0.615384,1,25,42,0,101,7,DantSu_ESCPOS-ThermalPrinter-Android,20260507T093656Z__DantSu_ESCPOS-ThermalPrinter-Android__f61030e4,v3
1,43,7,176,19,codex,30,28,0,0.605863,0.717833,0.872727,0.766727,0.875,0.696629,0.829545,0.801008,0.994521,0.405063,0.770487,0.714277,1,20,59,0,153,11,elvishew_xLog,20260507T093701Z__elvishew_xLog__3faa6b27,generated
3,62,7,171,16,codex,34,32,0,0.585526,0.632302,0.872727,0.78245,0.902857,0.652015,0.857143,0.709512,0.994438,0.40585,0.762011,0.697754,1,24,100,0,154,9,elvishew_xLog,20260507T093701Z__elvishew_xLog__3faa6b27,v2
2,49,6,163,16,codex,31,24,0,0.55102,0.664336,0.888889,0.739623,0.860465,0.632812,0.837209,0.75,0.994444,0.384906,0.741412,0.691756,1,30,93,0,163,12,elvishew_xLog,20260507T093701Z__elvishew_xLog__3faa6b27,v3
0,15,0,54,7,codex,4,8,0,0.533333,0.549451,1.0,0.531646,0.588235,0.666667,0.588235,0.714286,1.0,0.025316,0.596443,0.525657,0,0,9,0,23,0,EsotericSoftware_reflectasm,20260507T093708Z__EsotericSoftware_reflectasm__e34c5e8b,generated
1,20,0,40,6,codex,4,8,0,0.571429,0.624204,1.0,0.615385,0.625,0.64,0.625,0.680556,1.0,0.030769,0.65142,0.527303,0,0,10,0,23,0,EsotericSoftware_reflectasm,20260507T093708Z__EsotericSoftware_reflectasm__e34c5e8b,v2
