agent,andvari_reason,andvari_status,kvasir_reason,kvasir_status,lidskjalv_reason,lidskjalv_status,mimir_reason,mimir_status,project_key,repo_slug,run_id,variant
codex,,,,,,passed,,,ulisesbocchio_jasypt-spring-boot__original,ulisesbocchio_jasypt-spring-boot,20260505T122153Z__ulisesbocchio_jasypt-spring-boot__2243cb80,original
codex,,passed,behavioral-difference-evidence,failed,,passed,,passed,ulisesbocchio_jasypt-spring-boot__generated,ulisesbocchio_jasypt-spring-boot,20260505T122153Z__ulisesbocchio_jasypt-spring-boot__2243cb80,generated
codex,,passed,behavioral-difference-evidence,failed,,passed,,passed,ulisesbocchio_jasypt-spring-boot__generated_v2,ulisesbocchio_jasypt-spring-boot,20260505T122153Z__ulisesbocchio_jasypt-spring-boot__2243cb80,v2
codex,,passed,behavioral-difference-evidence,failed,,passed,,passed,ulisesbocchio_jasypt-spring-boot__generated_v3,ulisesbocchio_jasypt-spring-boot,20260505T122153Z__ulisesbocchio_jasypt-spring-boot__2243cb80,v3
codex,,,,,,passed,,,mbechler_marshalsec__original,mbechler_marshalsec,20260505T150455Z__mbechler_marshalsec__243c5aa8,original
codex,,passed,behavioral-difference-evidence,failed,,passed,,passed,mbechler_marshalsec__generated,mbechler_marshalsec,20260505T150455Z__mbechler_marshalsec__243c5aa8,generated
codex,,passed,behavioral-difference-evidence,failed,,passed,,passed,mbechler_marshalsec__generated_v2,mbechler_marshalsec,20260505T150455Z__mbechler_marshalsec__243c5aa8,v2
codex,,passed,behavioral-difference-evidence,failed,,passed,,passed,mbechler_marshalsec__generated_v3,mbechler_marshalsec,20260505T150455Z__mbechler_marshalsec__243c5aa8,v3
codex,,,,,,passed,,,frohoff_ysoserial__original,frohoff_ysoserial,20260505T150537Z__frohoff_ysoserial__218bcffc,original
codex,,passed,behavioral-difference-evidence,failed,,passed,,passed,frohoff_ysoserial__generated,frohoff_ysoserial,20260505T150537Z__frohoff_ysoserial__218bcffc,generated
codex,,passed,tests-failed,failed,,passed,,passed,frohoff_ysoserial__generated_v2,frohoff_ysoserial,20260505T150537Z__frohoff_ysoserial__218bcffc,v2
codex,,passed,behavioral-difference-evidence,failed,,passed,,passed,frohoff_ysoserial__generated_v3,frohoff_ysoserial,20260505T150537Z__frohoff_ysoserial__218bcffc,v3
codex,,,,,,passed,,,xtuhcy_gecco__original,xtuhcy_gecco,20260505T150549Z__xtuhcy_gecco__e1f32e1c,original
codex,,passed,,passed,,passed,,passed,xtuhcy_gecco__generated,xtuhcy_gecco,20260505T150549Z__xtuhcy_gecco__e1f32e1c,generated
codex,,passed,write-scope-violation,failed,,passed,,passed,xtuhcy_gecco__generated_v2,xtuhcy_gecco,20260505T150549Z__xtuhcy_gecco__e1f32e1c,v2
codex,,passed,behavioral-difference-evidence,failed,,passed,,passed,xtuhcy_gecco__generated_v3,xtuhcy_gecco,20260505T150549Z__xtuhcy_gecco__e1f32e1c,v3
codex,,,,,,passed,,,happyfish100_fastdfs-client-java__original,happyfish100_fastdfs-client-java,20260506T082045Z__happyfish100_fastdfs-client-java__4e7b6b34,original
codex,,passed,,passed,,passed,,passed,happyfish100_fastdfs-client-java__generated,happyfish100_fastdfs-client-java,20260506T082045Z__happyfish100_fastdfs-client-java__4e7b6b34,generated
codex,,passed,behavioral-difference-evidence,failed,,passed,,passed,happyfish100_fastdfs-client-java__generated_v2,happyfish100_fastdfs-client-java,20260506T082045Z__happyfish100_fastdfs-client-java__4e7b6b34,v2
codex,,passed,behavioral-difference-evidence,failed,,passed,,passed,happyfish100_fastdfs-client-java__generated_v3,happyfish100_fastdfs-client-java,20260506T082045Z__happyfish100_fastdfs-client-java__4e7b6b34,v3
codex,,,,,,passed,,,JakeWharton_RxRelay__original,JakeWharton_RxRelay,20260506T082105Z__JakeWharton_RxRelay__9540ecc7,original
codex,,passed,,passed,,passed,,passed,JakeWharton_RxRelay__generated,JakeWharton_RxRelay,20260506T082105Z__JakeWharton_RxRelay__9540ecc7,generated
codex,,passed,behavioral-difference-evidence,failed,,passed,,passed,JakeWharton_RxRelay__generated_v2,JakeWharton_RxRelay,20260506T082105Z__JakeWharton_RxRelay__9540ecc7,v2
codex,,passed,behavioral-difference-evidence,failed,,passed,,passed,JakeWharton_RxRelay__generated_v3,JakeWharton_RxRelay,20260506T082105Z__JakeWharton_RxRelay__9540ecc7,v3
codex,,,,,cli_fallback_failed,failed,,,amitshekhariitbhu_Android-Debug-Database__original,amitshekhariitbhu_Android-Debug-Database,20260506T082129Z__amitshekhariitbhu_Android-Debug-Database__bf149df6,original
codex,,passed,,passed,,passed,,passed,amitshekhariitbhu_Android-Debug-Database__generated,amitshekhariitbhu_Android-Debug-Database,20260506T082129Z__amitshekhariitbhu_Android-Debug-Database__bf149df6,generated
codex,,passed,write-scope-violation,failed,,passed,,passed,amitshekhariitbhu_Android-Debug-Database__generated_v2,amitshekhariitbhu_Android-Debug-Database,20260506T082129Z__amitshekhariitbhu_Android-Debug-Database__bf149df6,v2
codex,,passed,,passed,,passed,,passed,amitshekhariitbhu_Android-Debug-Database__generated_v3,amitshekhariitbhu_Android-Debug-Database,20260506T082129Z__amitshekhariitbhu_Android-Debug-Database__bf149df6,v3
codex,,,,,dependency_failure,failed,,,amitshekhariitbhu_PRDownloader__original,amitshekhariitbhu_PRDownloader,20260506T082136Z__amitshekhariitbhu_PRDownloader__611b12c8,original
codex,,passed,,passed,,passed,,passed,amitshekhariitbhu_PRDownloader__generated,amitshekhariitbhu_PRDownloader,20260506T082136Z__amitshekhariitbhu_PRDownloader__611b12c8,generated
codex,,passed,behavioral-difference-evidence,failed,,passed,,passed,amitshekhariitbhu_PRDownloader__generated_v2,amitshekhariitbhu_PRDownloader,20260506T082136Z__amitshekhariitbhu_PRDownloader__611b12c8,v2
codex,,passed,,passed,,passed,,passed,amitshekhariitbhu_PRDownloader__generated_v3,amitshekhariitbhu_PRDownloader,20260506T082136Z__amitshekhariitbhu_PRDownloader__611b12c8,v3
codex,,,,,build_failure,failed,,,esoxjem_MovieGuide__original,esoxjem_MovieGuide,20260506T083333Z__esoxjem_MovieGuide__dc1f20fb,original
codex,,passed,behavioral-difference-evidence,failed,,passed,,passed,esoxjem_MovieGuide__generated,esoxjem_MovieGuide,20260506T083333Z__esoxjem_MovieGuide__dc1f20fb,generated
codex,,passed,behavioral-difference-evidence,failed,,passed,,passed,esoxjem_MovieGuide__generated_v2,esoxjem_MovieGuide,20260506T083333Z__esoxjem_MovieGuide__dc1f20fb,v2
codex,,passed,behavioral-difference-evidence,failed,,passed,,passed,esoxjem_MovieGuide__generated_v3,esoxjem_MovieGuide,20260506T083333Z__esoxjem_MovieGuide__dc1f20fb,v3
codex,,,,,unknown,failed,,,19MisterX98_SeedcrackerX__original,19MisterX98_SeedcrackerX,20260507T093402Z__19MisterX98_SeedcrackerX__8e18d20d,original
